行业,行业细分,公司,涨跌幅,市值
科技,软件,国联股份,-1.42,42454490000.0
科技,硬件,中科曙光,0.52,42402637000.0
能源,石油与天然气,广汇能源,1.74,42152148000.0
基础材料,化工,光威复材,-0.12,42141855000.0
工业,工业制品,中兵红箭,-1.43,42138835000.0
基础材料,化工,浙江龙盛,0.47,42130648000.0
金融服务,银行,成都银行,2.01,42118851000.0
基础材料,农业,云天化,0.48,41892632000.0
医疗保健,生物科技,天坛生物,-0.26,41771972000.0
非周期性消费,农副加工食品,汤臣倍健,0.87,41215484000.0
周期性消费,汽车和配件,孚能科技,-3.02,41199369000.0
工业,工业制品,科达制造,-2.07,41110902000.0
基础材料,金属与开采,中金黄金,0.24,41056737000.0
科技,硬件,安克创新,9.98,40980055000.0
非周期性消费,农副加工食品,大北农,2.59,40957278000.0
工业,工业制品,西部超导,0.99,40773533000.0
科技,半导体,国科微,-0.57,40632162000.0
科技,硬件,方大炭素,3.8,40533584000.0
科技,硬件,中国长城,1.7,40436528000.0
金融服务,资本市场,长江证券,1.25,40423922000.0
医疗保健,医疗器械,乐普医疗,0.77,40296296000.0
能源,石油与天然气,上海石化,9.72,40248653000.0
非周期性消费,农副加工食品,绝味食品,-0.03,40219433000.0
能源,其他能源,永泰能源,-0.55,40214153000.0
工业,建筑,宁沪高速,0.83,40150112000.0
科技,软件,朗新科技,7.73,40021025000.0
工业,工业制品,怡合达,4.58,40001000000.0
科技,半导体,雅克科技,2.19,39977925000.0
非周期性消费,农副加工食品,珀莱雅,1.7,39895564000.0
工业,工业制品,中国动力,0.77,39734944000.0
科技,硬件,亨通光电,-1.52,39661225000.0
工业,工业制品,东方电缆,-2.11,39563114000.0
科技,硬件,科达利,-2.03,39512625000.0
工业,工业制品,国网英大,1.03,39342838000.0
工业,农用和重型工程机械,天山铝业,4.96,39308432000.0
金融服务,资本市场,东兴证券,3.68,39177240000.0
基础材料,化工,多氟多,-1.58,39062806000.0
科技,硬件,固德威,7.36,38925040000.0
非周期性消费,软饮料,养元饮品,-0.52,38875963000.0
科技,半导体,柏楚电子,-0.03,38815243000.0
基础材料,农业,扬农化工,3.99,38607206000.0
工业,工业制品,巨星科技,0.0,38591049000.0
非周期性消费,酒精饮料,口子窖,3.28,38520000000.0
通信服务,传媒,完美世界,1.9,38469573000.0
工业,工业制品,捷佳伟创,3.86,38402205000.0
工业,航空航天和国防,航发控制,-0.68,38337614000.0
基础材料,化工,恒逸石化,-0.19,38312621000.0
周期性消费,零售,豫园股份,0.31,38291295000.0
基础材料,化工,五矿稀土,-1.12,38176199000.0
能源,石油与天然气,杰瑞股份,-0.55,38132167000.0
工业,工业制品,日月股份,3.1,38026408000.0
医疗保健,医疗器械,甘李药业,0.56,38016258000.0
周期性消费,零售,苏宁易购,0.25,37891861000.0
科技,半导体,艾为电子,-1.3,37848000000.0
基础材料,化工,石大胜华,-2.11,37816034000.0
金融服务,资本市场,财达证券,3.84,37706900000.0
医疗保健,生物科技,美迪西,-1.38,37695380000.0
工业,农用和重型工程机械,浙江鼎力,-3.19,37600857000.0
公用事业,公共事业 - 独立发电商,大唐发电,0.0,37583909000.0
公用事业,公共事业 - 管制,深圳能源,0.25,37583380000.0
工业,工业制品,江特电机,-1.87,37573289000.0
医疗保健,医疗诊断和研究,华大基因,0.12,37562725000.0
科技,硬件,天奈科技,3.83,37549422000.0
周期性消费,旅游和娱乐,宋城演艺,-1.17,37442419000.0
工业,工业制品,天顺风能,-1.14,37420088000.0
基础材料,钢铁和焦煤,首钢股份,2.01,37371518000.0
金融服务,资本市场,中银证券,3.3,37364100000.0
房地产,房地产,陆家Ｂ股,1.05,37347893000.0
工业,工业制品,思源电气,-1.34,37275268000.0
科技,半导体,芯原股份,0.38,37078239000.0
金融服务,资产管理,财通证券,2.08,37074506000.0
科技,硬件,鸿远电子,-0.44,37021957000.0
医疗保健,医药制造,贝达药业,0.28,37016144000.0
工业,垃圾处理,伟明环保,0.86,36954916000.0
科技,软件,四维图新,-2.08,36900462000.0
科技,硬件,派能科技,2.94,36883968000.0
工业,航空航天和国防,中航电子,1.76,36848175000.0
周期性消费,零售,永辉超市,0.74,36844650000.0
基础材料,金属与开采,铜陵有色,6.06,36842867000.0
医疗保健,医疗器械,新产业,-0.04,36721255000.0
金融服务,资本市场,长城证券,7.53,35875366000.0
金融服务,资本市场,南京证券,1.57,35794566000.0
医疗保健,医疗器械,南微医学,3.97,35628448000.0
房地产,房地产,万业企业,-0.38,35596694000.0
科技,半导体,华峰测控,1.18,35536333000.0
医疗保健,医药制造,人福医药,0.51,35535645000.0
房地产,房地产,临港B股,1.19,35481539000.0
房地产,房地产,广宇发展,9.24,35443769000.0
科技,硬件,火炬电子,-1.71,35408981000.0
医疗保健,医疗器械,鱼跃医疗,-0.25,35327287000.0
工业,工业制品,浙富控股,2.98,35279559000.0
科技,硬件,航天电器,-1.3,35221650000.0
基础材料,化工,星源材质,0.95,35116269000.0
医疗保健,医疗器械,奕瑞科技,0.4,35104442000.0
基础材料,化工,纳微科技,0.64,35036779000.0
金融服务,资本市场,西部证券,1.69,34996825000.0
能源,石油与天然气,招商轮船,0.7,34960672000.0
基础材料,金属与开采,盛和资源,0.35,34910273000.0
公用事业,公共事业 - 独立发电商,浙江新能,2.88,34881600000.0
科技,硬件,宏达电子,1.29,34808700000.0
基础材料,化工,川能动力,-2.28,34772600000.0
金融服务,资本市场,中航产融,1.04,34609502000.0
金融服务,资本市场,东吴证券,3.13,34497813000.0
科技,硬件,睿创微纳,-1.4,34265000000.0
基础材料,金属与开采,嘉元科技,5.19,34241161000.0
医疗保健,医疗器械,稳健医疗,0.16,34217478000.0
能源,其他能源,山西焦煤,2.08,34206276000.0
基础材料,钢铁和焦煤,华菱钢铁,1.65,34197731000.0
金融服务,资本市场,天风证券,2.07,34143084000.0
基础材料,化工,雅化集团,-1.9,34058222000.0
基础材料,化工,安迪苏,0.95,34033327000.0
基础材料,化工,巨化股份,1.62,33881813000.0
工业,企业集团,物产中大,1.24,33826169000.0
基础材料,化工,彤程新材,-1.08,33789865000.0
